characters: Topic: 0, Keyword number: 0
female: Topic: 29, Keyword number: 18
murder: Topic: 29, Keyword number: 19
jane: Topic: 29, Keyword number: 20
patrick: Topic: 29, Keyword number: 21
leaves: Topic: 29, Keyword number: 22
lucy: Topic: 29, Keyword number: 23
scientist: Topic: 29, Keyword number: 24
big: Topic: 30, Keyword number: 0
film: Topic: 30, Keyword number: 1
doesn: Topic: 30, Keyword number: 2
movie: Topic: 30, Keyword number: 3
plot: Topic: 30, Keyword number: 4
script: Topic: 30, Keyword number: 5
man: Topic: 30, Keyword number: 6
julia: Topic: 30, Keyword number: 7
funny: Topic: 30, Keyword number: 8
suspense: Topic: 30, Keyword number: 9
lee: Topic: 30, Keyword number: 10
jack: Topic: 30, Keyword number: 11
story: Topic: 30, Keyword number: 12
actor: Topic: 30, Keyword number: 13
dead: Topic: 30, Keyword number: 14
romantic: Topic: 30, Keyword number: 15
character: Topic: 30, Keyword number: 16
bang: Topic: 30, Keyword number: 17
fact: Topic: 30, Keyword number: 18
john: Topic: 30, Keyword number: 19
terrible: Topic: 30, Keyword number: 20
time: Topic: 30, Keyword number: 21
roberts: Topic: 30, Keyword number: 22
giant: Topic: 30, Keyword number: 23
series: Topic: 30, Keyword number: 24
film: Topic: 31, Keyword number: 0
story: Topic: 31, Keyword number: 1
bad: Topic: 31, Keyword number: 2
drug: Topic: 31, Keyword number: 3
kind: Topic: 31, Keyword number: 4
brother: Topic: 31, Keyword number: 5
peter: Topic: 31, Keyword number: 6
leader: Topic: 31, Keyword number: 7
cool: Topic: 31, Keyword number: 8
guys: Topic: 31, Keyword number: 9
simple: Topic: 31, Keyword number: 10
chinese: Topic: 31, Keyword number: 11
people: Topic: 31, Keyword number: 12
prison: Topic: 31, Keyword number: 13
finds: Topic: 31, Keyword number: 14
hero: Topic: 31, Keyword number: 15
played: Topic: 31, Keyword number: 16
hunter: Topic: 31, Keyword number: 17
american: Topic: 31, Keyword number: 18
tribe: Topic: 31, Keyword number: 19
country: Topic: 31, Keyword number: 20
basically: Topic: 31, Keyword number: 21
scene: Topic: 31, Keyword number: 22
place: Topic: 31, Keyword number: 23
deep: Topic: 31, Keyword number: 24
movie: Topic: 32, Keyword number: 0
film: Topic: 32, Keyword number: 1
funny: Topic: 32, Keyword number: 2
watch: Topic: 32, Keyword number: 3
comedy: Topic: 32, Keyword number: 4
bad: Topic: 32, Keyword number: 5
money: Topic: 32, Keyword number: 6
cast: Topic: 32, Keyword number: 7
men: Topic: 32, Keyword number: 8
script: Topic: 32, Keyword number: 9
thing: Topic: 32, Keyword number: 10
entertaining: Topic: 32, Keyword number: 11
times: Topic: 32, Keyword number: 12
fun: Topic: 32, Keyword number: 13
good: Topic: 32, Keyword number: 14
moments: Topic: 32, Keyword number: 15
character: Topic: 32, Keyword number: 16
falls: Topic: 32, Keyword number: 17
isn: Topic: 32, Keyword number: 18
hit: Topic: 32, Keyword number: 19
american: Topic: 32, Keyword number: 20
gadget: Topic: 32, Keyword number: 21
worth: Topic: 32, Keyword number: 22
kind: Topic: 32, Keyword number: 23
annoying: Topic: 32, Keyword number: 24
harry: Topic: 33, Keyword number: 0
film: Topic: 33, Keyword number: 1
killer: Topic: 33, Keyword number: 2
urban: Topic: 33, Keyword number: 3
films: Topic: 33, Keyword number: 4
dead: Topic: 33, Keyword number: 5
legend: Topic: 33, Keyword number: 6
director: Topic: 33, Keyword number: 7
sign: Topic: 33, Keyword number: 8
actors: Topic: 33, Keyword number: 9
instinct: Topic: 33, Keyword number: 10
playing: Topic: 33, Keyword number: 11
armageddon: Topic: 33, Keyword number: 12
work: Topic: 33, Keyword number: 13
good: Topic: 33, Keyword number: 14
hollywood: Topic: 33, Keyword number: 15
man: Topic: 33, Keyword number: 16
action: Topic: 33, Keyword number: 17
willis: Topic: 33, Keyword number: 18
prison: Topic: 33, Keyword number: 19
wire: Topic: 33, Keyword number: 20
predictable: Topic: 33, Keyword number: 21
clear: Topic: 33, Keyword number: 22
horror: Topic: 33, Keyword number: 23
interesting: Topic: 33, Keyword number: 24
film: Topic: 34, Keyword number: 0
robin: Topic: 34, Keyword number: 1
time: Topic: 34, Keyword number: 2
arnold: Topic: 34, Keyword number: 3
schumacher: Topic: 34, Keyword number: 4
girl: Topic: 34, Keyword number: 5
man: Topic: 34, Keyword number: 6
good: Topic: 34, Keyword number: 7
tom: Topic: 34, Keyword number: 8
schwarzenegger: Topic: 34, Keyword number: 9
batman_robin: Topic: 34, Keyword number: 10
fun: Topic: 34, Keyword number: 11
work: Topic: 34, Keyword number: 12
kill: Topic: 34, Keyword number: 13
welles: Topic: 34, Keyword number: 14
movie: Topic: 34, Keyword number: 15
played: Topic: 34, Keyword number: 16
thing: Topic: 34, Keyword number: 17
bad: Topic: 34, Keyword number: 18
highly: Topic: 34, Keyword number: 19
named: Topic: 34, Keyword number: 20
performance: Topic: 34, Keyword number: 21
forever: Topic: 34, Keyword number: 22
case: Topic: 34, Keyword number: 23
movies: Topic: 34, Keyword number: 24
film: Topic: 35, Keyword number: 0
bad: Topic: 35, Keyword number: 1
movie: Topic: 35, Keyword number: 2
sex: Topic: 35, Keyword number: 3
films: Topic: 35, Keyword number: 4
scene: Topic: 35, Keyword number: 5
big: Topic: 35, Keyword number: 6
friends: Topic: 35, Keyword number: 7
jack: Topic: 35, Keyword number: 8
black: Topic: 35, Keyword number: 9
supposed: Topic: 35, Keyword number: 10
sense: Topic: 35, Keyword number: 11
life: Topic: 35, Keyword number: 12
jackal: Topic: 35, Keyword number: 13
woman: Topic: 35, Keyword number: 14
good: Topic: 35, Keyword number: 15
director: Topic: 35, Keyword number: 16
scenes: Topic: 35, Keyword number: 17
acting: Topic: 35, Keyword number: 18
girlfriend: Topic: 35, Keyword number: 19
worse: Topic: 35, Keyword number: 20
hard: Topic: 35, Keyword number: 21
young: Topic: 35, Keyword number: 22
fire: Topic: 35, Keyword number: 23
feel: Topic: 35, Keyword number: 24
film: Topic: 36, Keyword number: 0
big: Topic: 36, Keyword number: 1
don: Topic: 36, Keyword number: 2
apes: Topic: 36, Keyword number: 3
isn: Topic: 36, Keyword number: 4
years: Topic: 36, Keyword number: 5
characters: Topic: 36, Keyword number: 6
human: Topic: 36, Keyword number: 7
good: Topic: 36, Keyword number: 8
funny: Topic: 36, Keyword number: 9
teen: Topic: 36, Keyword number: 10
obvious: Topic: 36, Keyword number: 11
verhoeven: Topic: 36, Keyword number: 12
couple: Topic: 36, Keyword number: 13
planet: Topic: 36, Keyword number: 14
troopers: Topic: 36, Keyword number: 15
moment: Topic: 36, Keyword number: 16
starship: Topic: 36, Keyword number: 17
hands: Topic: 36, Keyword number: 18
acting: Topic: 36, Keyword number: 19
jawbreaker: Topic: 36, Keyword number: 20
young: Topic: 36, Keyword number: 21
time: Topic: 36, Keyword number: 22
starship_troopers: Topic: 36, Keyword number: 23
movies: Topic: 36, Keyword number: 24
american: Topic: 37, Keyword number: 0
quality: Topic: 37, Keyword number: 1
boy: Topic: 37, Keyword number: 2
helen: Topic: 37, Keyword number: 3
set: Topic: 37, Keyword number: 4
bad: Topic: 37, Keyword number: 5
place: Topic: 37, Keyword number: 6
title: Topic: 37, Keyword number: 7
art: Topic: 37, Keyword number: 8
rating: Topic: 37, Keyword number: 9
opening: Topic: 37, Keyword number: 10
father: Topic: 37, Keyword number: 11
screenplay: Topic: 37, Keyword number: 12
long: Topic: 37, Keyword number: 13
blood: Topic: 37, Keyword number: 14
meet: Topic: 37, Keyword number: 15
performance: Topic: 37, Keyword number: 16
good: Topic: 37, Keyword number: 17
williamson: Topic: 37, Keyword number: 18
figure: Topic: 37, Keyword number: 19
live: Topic: 37, Keyword number: 20
relationships: Topic: 37, Keyword number: 21
call: Topic: 37, Keyword number: 22
gloria: Topic: 37, Keyword number: 23
york: Topic: 37, Keyword number: 24
film: Topic: 38, Keyword number: 0
funny: Topic: 38, Keyword number: 1
family: Topic: 38, Keyword number: 2
love: Topic: 38, Keyword number: 3
sandler: Topic: 38, Keyword number: 4
park: Topic: 38, Keyword number: 5
time: Topic: 38, Keyword number: 6
wedding: Topic: 38, Keyword number: 7
brothers: Topic: 38, Keyword number: 8
style: Topic: 38, Keyword number: 9
jokes: Topic: 38, Keyword number: 10
turns: Topic: 38, Keyword number: 11
humor: Topic: 38, Keyword number: 12
adam: Topic: 38, Keyword number: 13
audience: Topic: 38, Keyword number: 14
material: Topic: 38, Keyword number: 15
thing: Topic: 38, Keyword number: 16
characters: Topic: 38, Keyword number: 17
hour: Topic: 38, Keyword number: 18
lives: Topic: 38, Keyword number: 19
obvious: Topic: 38, Keyword number: 20
high: Topic: 38, Keyword number: 21
times: Topic: 38, Keyword number: 22
potential: Topic: 38, Keyword number: 23
reality: Topic: 38, Keyword number: 24
action: Topic: 39, Keyword number: 0
kevin: Topic: 39, Keyword number: 1
hard: Topic: 39, Keyword number: 2
director: Topic: 39, Keyword number: 3
willis: Topic: 39, Keyword number: 4
nick: Topic: 39, Keyword number: 5
simon: Topic: 39, Keyword number: 6
michael: Topic: 39, Keyword number: 7
named: Topic: 39, Keyword number: 8
character: Topic: 39, Keyword number: 9
rising: Topic: 39, Keyword number: 10
comic: Topic: 39, Keyword number: 11
hughes: Topic: 39, Keyword number: 12
special: Topic: 39, Keyword number: 13
john: Topic: 39, Keyword number: 14
kate: Topic: 39, Keyword number: 15
boy: Topic: 39, Keyword number: 16
actors: Topic: 39, Keyword number: 17
eve: Topic: 39, Keyword number: 18
save: Topic: 39, Keyword number: 19
production: Topic: 39, Keyword number: 20
art: Topic: 39, Keyword number: 21
games: Topic: 39, Keyword number: 22
audience: Topic: 39, Keyword number: 23
bruce_willis: Topic: 39, Keyword number: 24
movie: Topic: 40, Keyword number: 0
film: Topic: 40, Keyword number: 1
year: Topic: 40, Keyword number: 2
films: Topic: 40, Keyword number: 3
science: Topic: 40, Keyword number: 4
time: Topic: 40, Keyword number: 5
mind: Topic: 40, Keyword number: 6
called: Topic: 40, Keyword number: 7
years: Topic: 40, Keyword number: 8
book: Topic: 40, Keyword number: 9
effects: Topic: 40, Keyword number: 10
amazing: Topic: 40, Keyword number: 11
fiction: Topic: 40, Keyword number: 12
didn: Topic: 40, Keyword number: 13
summer: Topic: 40, Keyword number: 14
future: Topic: 40, Keyword number: 15
story: Topic: 40, Keyword number: 16
big: Topic: 40, Keyword number: 17
huge: Topic: 40, Keyword number: 18
movies: Topic: 40, Keyword number: 19
wcw: Topic: 40, Keyword number: 20
sitting: Topic: 40, Keyword number: 21
guess: Topic: 40, Keyword number: 22
release: Topic: 40, Keyword number: 23
scenes: Topic: 40, Keyword number: 24
film: Topic: 41, Keyword number: 0
joe: Topic: 41, Keyword number: 1
character: Topic: 41, Keyword number: 2
movie: Topic: 41, Keyword number: 3
script: Topic: 41, Keyword number: 4
ryan: Topic: 41, Keyword number: 5
body: Topic: 41, Keyword number: 6
sex: Topic: 41, Keyword number: 7
death: Topic: 41, Keyword number: 8
bit: Topic: 41, Keyword number: 9
things: Topic: 41, Keyword number: 10
bad: Topic: 41, Keyword number: 11
meet: Topic: 41, Keyword number: 12
thing: Topic: 41, Keyword number: 13
style: Topic: 41, Keyword number: 14
isn: Topic: 41, Keyword number: 15
happened: Topic: 41, Keyword number: 16
small: Topic: 41, Keyword number: 17
dark: Topic: 41, Keyword number: 18
place: Topic: 41, Keyword number: 19
violence: Topic: 41, Keyword number: 20
story: Topic: 41, Keyword number: 21
wasn: Topic: 41, Keyword number: 22
camera: Topic: 41, Keyword number: 23
real: Topic: 41, Keyword number: 24
movie: Topic: 42, Keyword number: 0
film: Topic: 42, Keyword number: 1
wrestling: Topic: 42, Keyword number: 2
death: Topic: 42, Keyword number: 3
snake: Topic: 42, Keyword number: 4
characters: Topic: 42, Keyword number: 5
anaconda: Topic: 42, Keyword number: 6
fans: Topic: 42, Keyword number: 7
guy: Topic: 42, Keyword number: 8
voice: Topic: 42, Keyword number: 9
year: Topic: 42, Keyword number: 10
baldwin: Topic: 42, Keyword number: 11
space: Topic: 42, Keyword number: 12
find: Topic: 42, Keyword number: 13
form: Topic: 42, Keyword number: 14
time: Topic: 42, Keyword number: 15
isn: Topic: 42, Keyword number: 16
real: Topic: 42, Keyword number: 17
steven: Topic: 42, Keyword number: 18
funny: Topic: 42, Keyword number: 19
bring: Topic: 42, Keyword number: 20
running: Topic: 42, Keyword number: 21
eric: Topic: 42, Keyword number: 22
guess: Topic: 42, Keyword number: 23
leaving: Topic: 42, Keyword number: 24
west: Topic: 43, Keyword number: 0
james: Topic: 43, Keyword number: 1
worst: Topic: 43, Keyword number: 2
friend: Topic: 43, Keyword number: 3
film: Topic: 43, Keyword number: 4
plays: Topic: 43, Keyword number: 5
characters: Topic: 43, Keyword number: 6
jim: Topic: 43, Keyword number: 7
funny: Topic: 43, Keyword number: 8
real: Topic: 43, Keyword number: 9
bond: Topic: 43, Keyword number: 10
comedy: Topic: 43, Keyword number: 11
final: Topic: 43, Keyword number: 12
life: Topic: 43, Keyword number: 13
beautiful: Topic: 43, Keyword number: 14
blonde: Topic: 43, Keyword number: 15
jokes: Topic: 43, Keyword number: 16
chance: Topic: 43, Keyword number: 17
action: Topic: 43, Keyword number: 18
flying: Topic: 43, Keyword number: 19
high_school: Topic: 43, Keyword number: 20
evil: Topic: 43, Keyword number: 21
good: Topic: 43, Keyword number: 22
murphy: Topic: 43, Keyword number: 23
mother: Topic: 43, Keyword number: 24
movie: Topic: 44, Keyword number: 0
series: Topic: 44, Keyword number: 1
audience: Topic: 44, Keyword number: 2
nbsp: Topic: 44, Keyword number: 3
spice: Topic: 44, Keyword number: 4
alien: Topic: 44, Keyword number: 5
television: Topic: 44, Keyword number: 6
characters: Topic: 44, Keyword number: 7
film: Topic: 44, Keyword number: 8
answer: Topic: 44, Keyword number: 9
find: Topic: 44, Keyword number: 10
monster: Topic: 44, Keyword number: 11
scene: Topic: 44, Keyword number: 12
children: Topic: 44, Keyword number: 13
major: Topic: 44, Keyword number: 14
years: Topic: 44, Keyword number: 15
set: Topic: 44, Keyword number: 16
fun: Topic: 44, Keyword number: 17
kevin: Topic: 44, Keyword number: 18
screen: Topic: 44, Keyword number: 19
case: Topic: 44, Keyword number: 20
webb: Topic: 44, Keyword number: 21
black: Topic: 44, Keyword number: 22
long: Topic: 44, Keyword number: 23
star: Topic: 44, Keyword number: 24
movie: Topic: 45, Keyword number: 0
story: Topic: 45, Keyword number: 1
film: Topic: 45, Keyword number: 2
character: Topic: 45, Keyword number: 3
time: Topic: 45, Keyword number: 4
man: Topic: 45, Keyword number: 5
things: Topic: 45, Keyword number: 6
doesn: Topic: 45, Keyword number: 7
point: Topic: 45, Keyword number: 8
richard: Topic: 45, Keyword number: 9
play: Topic: 45, Keyword number: 10
carrey: Topic: 45, Keyword number: 11
people: Topic: 45, Keyword number: 12
filmmakers: Topic: 45, Keyword number: 13
couple: Topic: 45, Keyword number: 14
times: Topic: 45, Keyword number: 15
interesting: Topic: 45, Keyword number: 16
forced: Topic: 45, Keyword number: 17
good: Topic: 45, Keyword number: 18
easily: Topic: 45, Keyword number: 19
audience: Topic: 45, Keyword number: 20
connor: Topic: 45, Keyword number: 21
vacation: Topic: 45, Keyword number: 22
vegas: Topic: 45, Keyword number: 23
won: Topic: 45, Keyword number: 24
movie: Topic: 46, Keyword number: 0
film: Topic: 46, Keyword number: 1
plot: Topic: 46, Keyword number: 2
smith: Topic: 46, Keyword number: 3
comedy: Topic: 46, Keyword number: 4
vampires: Topic: 46, Keyword number: 5
black: Topic: 46, Keyword number: 6
bob: Topic: 46, Keyword number: 7
death: Topic: 46, Keyword number: 8
charlie: Topic: 46, Keyword number: 9
things: Topic: 46, Keyword number: 10
james: Topic: 46, Keyword number: 11
hollywood: Topic: 46, Keyword number: 12
crow: Topic: 46, Keyword number: 13
films: Topic: 46, Keyword number: 14
long: Topic: 46, Keyword number: 15
falls: Topic: 46, Keyword number: 16
brothers: Topic: 46, Keyword number: 17
night: Topic: 46, Keyword number: 18
plays: Topic: 46, Keyword number: 19
character: Topic: 46, Keyword number: 20
flat: Topic: 46, Keyword number: 21
personality: Topic: 46, Keyword number: 22
roles: Topic: 46, Keyword number: 23
john: Topic: 46, Keyword number: 24
action: Topic: 47, Keyword number: 0
film: Topic: 47, Keyword number: 1
movie: Topic: 47, Keyword number: 2
van: Topic: 47, Keyword number: 3
van_damme: Topic: 47, Keyword number: 4
damme: Topic: 47, Keyword number: 5
plays: Topic: 47, Keyword number: 6
girl: Topic: 47, Keyword number: 7
camera: Topic: 47, Keyword number: 8
kong: Topic: 47, Keyword number: 9
game: Topic: 47, Keyword number: 10
good: Topic: 47, Keyword number: 11
thing: Topic: 47, Keyword number: 12
coming: Topic: 47, Keyword number: 13
films: Topic: 47, Keyword number: 14
year: Topic: 47, Keyword number: 15
story: Topic: 47, Keyword number: 16
isn: Topic: 47, Keyword number: 17
double: Topic: 47, Keyword number: 18
scene: Topic: 47, Keyword number: 19
watch: Topic: 47, Keyword number: 20
kill: Topic: 47, Keyword number: 21
direction: Topic: 47, Keyword number: 22
point: Topic: 47, Keyword number: 23
jean: Topic: 47, Keyword number: 24
murphy: Topic: 48, Keyword number: 0
scene: Topic: 48, Keyword number: 1
lynch: Topic: 48, Keyword number: 2
minutes: Topic: 48, Keyword number: 3
note: Topic: 48, Keyword number: 4
men: Topic: 48, Keyword number: 5
film: Topic: 48, Keyword number: 6
job: Topic: 48, Keyword number: 7
making: Topic: 48, Keyword number: 8
white: Topic: 48, Keyword number: 9
version: Topic: 48, Keyword number: 10
fails: Topic: 48, Keyword number: 11
hype: Topic: 48, Keyword number: 12
good: Topic: 48, Keyword number: 13
moment: Topic: 48, Keyword number: 14
interesting: Topic: 48, Keyword number: 15
common: Topic: 48, Keyword number: 16
budget: Topic: 48, Keyword number: 17
shot: Topic: 48, Keyword number: 18
doesn: Topic: 48, Keyword number: 19
impression: Topic: 48, Keyword number: 20
isn: Topic: 48, Keyword number: 21
director: Topic: 48, Keyword number: 22
sidney: Topic: 48, Keyword number: 23
performance: Topic: 48, Keyword number: 24
film: Topic: 49, Keyword number: 0
house: Topic: 49, Keyword number: 1
mission: Topic: 49, Keyword number: 2
fact: Topic: 49, Keyword number: 3
bad: Topic: 49, Keyword number: 4
witch: Topic: 49, Keyword number: 5
plot: Topic: 49, Keyword number: 6
long: Topic: 49, Keyword number: 7
running: Topic: 49, Keyword number: 8
things: Topic: 49, Keyword number: 9
jolie: Topic: 49, Keyword number: 10
father: Topic: 49, Keyword number: 11
scary: Topic: 49, Keyword number: 12
story: Topic: 49, Keyword number: 13
sam: Topic: 49, Keyword number: 14
questions: Topic: 49, Keyword number: 15
studio: Topic: 49, Keyword number: 16
team: Topic: 49, Keyword number: 17
reason: Topic: 49, Keyword number: 18
characters: Topic: 49, Keyword number: 19
fight: Topic: 49, Keyword number: 20
space: Topic: 49, Keyword number: 21
big: Topic: 49, Keyword number: 22
starts: Topic: 49, Keyword number: 23
hell: Topic: 49, Keyword number: 24
