batman: Topic: 0, Keyword number: 0
horror: Topic: 27, Keyword number: 14
bang: Topic: 27, Keyword number: 15
kattan: Topic: 27, Keyword number: 16
cruise: Topic: 27, Keyword number: 17
dafoe: Topic: 27, Keyword number: 18
hill: Topic: 27, Keyword number: 19
house: Topic: 27, Keyword number: 20
scary_movie: Topic: 27, Keyword number: 21
oil_tanker: Topic: 27, Keyword number: 22
tanker: Topic: 27, Keyword number: 23
oil: Topic: 27, Keyword number: 24
carrey: Topic: 28, Keyword number: 0
sandler: Topic: 28, Keyword number: 1
jay: Topic: 28, Keyword number: 2
ace: Topic: 28, Keyword number: 3
bilko: Topic: 28, Keyword number: 4
ventura: Topic: 28, Keyword number: 5
silent_bob: Topic: 28, Keyword number: 6
jay_silent_bob: Topic: 28, Keyword number: 7
jay_silent: Topic: 28, Keyword number: 8
ace_ventura: Topic: 28, Keyword number: 9
barrymore: Topic: 28, Keyword number: 10
silent: Topic: 28, Keyword number: 11
adam_sandler: Topic: 28, Keyword number: 12
drew: Topic: 28, Keyword number: 13
grinch: Topic: 28, Keyword number: 14
high_school: Topic: 28, Keyword number: 15
jim_carrey: Topic: 28, Keyword number: 16
kevin_smith: Topic: 28, Keyword number: 17
adam: Topic: 28, Keyword number: 18
sgt: Topic: 28, Keyword number: 19
josie: Topic: 28, Keyword number: 20
wedding_singer: Topic: 28, Keyword number: 21
wedding: Topic: 28, Keyword number: 22
bob: Topic: 28, Keyword number: 23
sgt_bilko: Topic: 28, Keyword number: 24
snipes: Topic: 29, Keyword number: 0
alicia: Topic: 29, Keyword number: 1
franklin: Topic: 29, Keyword number: 2
murder: Topic: 29, Keyword number: 3
train: Topic: 29, Keyword number: 4
wesley: Topic: 29, Keyword number: 5
fugitive: Topic: 29, Keyword number: 6
babysitter: Topic: 29, Keyword number: 7
tango: Topic: 29, Keyword number: 8
wesley_snipes: Topic: 29, Keyword number: 9
money_talks: Topic: 29, Keyword number: 10
tango_cash: Topic: 29, Keyword number: 11
cash: Topic: 29, Keyword number: 12
talks: Topic: 29, Keyword number: 13
tucker: Topic: 29, Keyword number: 14
paltrow: Topic: 29, Keyword number: 15
perfect_murder: Topic: 29, Keyword number: 16
mortensen: Topic: 29, Keyword number: 17
emily: Topic: 29, Keyword number: 18
marshals: Topic: 29, Keyword number: 19
chinese: Topic: 29, Keyword number: 20
terror: Topic: 29, Keyword number: 21
turboman: Topic: 29, Keyword number: 22
terror_train: Topic: 29, Keyword number: 23
money_train: Topic: 29, Keyword number: 24
bats: Topic: 30, Keyword number: 0
football: Topic: 30, Keyword number: 1
town: Topic: 30, Keyword number: 2
coach: Topic: 30, Keyword number: 3
varsity: Topic: 30, Keyword number: 4
varsity_blues: Topic: 30, Keyword number: 5
bat: Topic: 30, Keyword number: 6
blues: Topic: 30, Keyword number: 7
burns: Topic: 30, Keyword number: 8
high_school: Topic: 30, Keyword number: 9
texas: Topic: 30, Keyword number: 10
claudia: Topic: 30, Keyword number: 11
skulls: Topic: 30, Keyword number: 12
charlie: Topic: 30, Keyword number: 13
jon: Topic: 30, Keyword number: 14
van_der_beek: Topic: 30, Keyword number: 15
der_beek: Topic: 30, Keyword number: 16
beek: Topic: 30, Keyword number: 17
quarterback: Topic: 30, Keyword number: 18
van_der: Topic: 30, Keyword number: 19
der: Topic: 30, Keyword number: 20
carrie: Topic: 30, Keyword number: 21
reeves: Topic: 30, Keyword number: 22
bubble: Topic: 30, Keyword number: 23
hockey: Topic: 30, Keyword number: 24
seagal: Topic: 31, Keyword number: 0
kombat: Topic: 31, Keyword number: 1
rimbaud: Topic: 31, Keyword number: 2
heyst: Topic: 31, Keyword number: 3
quaid: Topic: 31, Keyword number: 4
mortal_kombat: Topic: 31, Keyword number: 5
mortal: Topic: 31, Keyword number: 6
monkey_bone: Topic: 31, Keyword number: 7
park: Topic: 31, Keyword number: 8
system: Topic: 31, Keyword number: 9
bowling: Topic: 31, Keyword number: 10
lacrosse: Topic: 31, Keyword number: 11
switchback: Topic: 31, Keyword number: 12
amazing_potent_stuff_perfection: Topic: 31, Keyword number: 13
potent_stuff_perfection: Topic: 31, Keyword number: 14
stuff_perfection: Topic: 31, Keyword number: 15
perfection: Topic: 31, Keyword number: 16
friend_amazing_potent_stuff: Topic: 31, Keyword number: 17
amazing_potent_stuff: Topic: 31, Keyword number: 18
potent_stuff: Topic: 31, Keyword number: 19
bring_friend_amazing_potent: Topic: 31, Keyword number: 20
friend_amazing_potent: Topic: 31, Keyword number: 21
amazing_potent: Topic: 31, Keyword number: 22
potent: Topic: 31, Keyword number: 23
good_bring_friend_amazing: Topic: 31, Keyword number: 24
simon: Topic: 32, Keyword number: 0
baldwin: Topic: 32, Keyword number: 1
crawford: Topic: 32, Keyword number: 2
mercury: Topic: 32, Keyword number: 3
cindy: Topic: 32, Keyword number: 4
mercury_rising: Topic: 32, Keyword number: 5
rising: Topic: 32, Keyword number: 6
watchers: Topic: 32, Keyword number: 7
affleck: Topic: 32, Keyword number: 8
reindeer: Topic: 32, Keyword number: 9
ronin: Topic: 32, Keyword number: 10
rudy: Topic: 32, Keyword number: 11
reindeer_games: Topic: 32, Keyword number: 12
autistic: Topic: 32, Keyword number: 13
willis: Topic: 32, Keyword number: 14
games: Topic: 32, Keyword number: 15
watchers_reborn: Topic: 32, Keyword number: 16
reborn: Topic: 32, Keyword number: 17
chow: Topic: 32, Keyword number: 18
frankenheimer: Topic: 32, Keyword number: 19
jeffries: Topic: 32, Keyword number: 20
ashley: Topic: 32, Keyword number: 21
eastwood: Topic: 32, Keyword number: 22
koontz: Topic: 32, Keyword number: 23
theron: Topic: 32, Keyword number: 24
van_damme: Topic: 33, Keyword number: 0
damme: Topic: 33, Keyword number: 1
van: Topic: 33, Keyword number: 2
jackie: Topic: 33, Keyword number: 3
chan: Topic: 33, Keyword number: 4
hong: Topic: 33, Keyword number: 5
kong: Topic: 33, Keyword number: 6
hong_kong: Topic: 33, Keyword number: 7
knock: Topic: 33, Keyword number: 8
jackie_chan: Topic: 33, Keyword number: 9
magoo: Topic: 33, Keyword number: 10
jean_claude: Topic: 33, Keyword number: 11
claude: Topic: 33, Keyword number: 12
jet: Topic: 33, Keyword number: 13
jean: Topic: 33, Keyword number: 14
martial_arts: Topic: 33, Keyword number: 15
martial: Topic: 33, Keyword number: 16
jean_claude_van_damme: Topic: 33, Keyword number: 17
claude_van_damme: Topic: 33, Keyword number: 18
jean_claude_van: Topic: 33, Keyword number: 19
claude_van: Topic: 33, Keyword number: 20
blues: Topic: 33, Keyword number: 21
tsui: Topic: 33, Keyword number: 22
nielsen: Topic: 33, Keyword number: 23
arts: Topic: 33, Keyword number: 24
jackal: Topic: 34, Keyword number: 0
mandingo: Topic: 34, Keyword number: 1
macdonald: Topic: 34, Keyword number: 2
invisible: Topic: 34, Keyword number: 3
gere: Topic: 34, Keyword number: 4
hammond: Topic: 34, Keyword number: 5
lemmon: Topic: 34, Keyword number: 6
powder: Topic: 34, Keyword number: 7
norm_macdonald: Topic: 34, Keyword number: 8
dirty_work: Topic: 34, Keyword number: 9
odd_couple: Topic: 34, Keyword number: 10
hollow_man: Topic: 34, Keyword number: 11
matthau: Topic: 34, Keyword number: 12
norm: Topic: 34, Keyword number: 13
felix: Topic: 34, Keyword number: 14
dirty: Topic: 34, Keyword number: 15
odd: Topic: 34, Keyword number: 16
mitch: Topic: 34, Keyword number: 17
verhoven: Topic: 34, Keyword number: 18
richard_gere: Topic: 34, Keyword number: 19
bacon: Topic: 34, Keyword number: 20
hollow: Topic: 34, Keyword number: 21
grumpy: Topic: 34, Keyword number: 22
simon: Topic: 34, Keyword number: 23
rec_arts: Topic: 34, Keyword number: 24
carpenter: Topic: 35, Keyword number: 0
vampires: Topic: 35, Keyword number: 1
vampire: Topic: 35, Keyword number: 2
mars: Topic: 35, Keyword number: 3
dvd: Topic: 35, Keyword number: 4
ghosts: Topic: 35, Keyword number: 5
john_carpenter: Topic: 35, Keyword number: 6
ghosts_mars: Topic: 35, Keyword number: 7
crow: Topic: 35, Keyword number: 8
horror: Topic: 35, Keyword number: 9
stigmata: Topic: 35, Keyword number: 10
woods: Topic: 35, Keyword number: 11
original_theatrical: Topic: 35, Keyword number: 12
kelley: Topic: 35, Keyword number: 13
catholic: Topic: 35, Keyword number: 14
theatrical: Topic: 35, Keyword number: 15
audio: Topic: 35, Keyword number: 16
nightmare: Topic: 35, Keyword number: 17
vampire_hunter: Topic: 35, Keyword number: 18
disc: Topic: 35, Keyword number: 19
jasper: Topic: 35, Keyword number: 20
valek: Topic: 35, Keyword number: 21
catholic_church: Topic: 35, Keyword number: 22
frankie: Topic: 35, Keyword number: 23
film_original: Topic: 35, Keyword number: 24
eddie: Topic: 36, Keyword number: 0
cusack: Topic: 36, Keyword number: 1
roberts: Topic: 36, Keyword number: 2
julia: Topic: 36, Keyword number: 3
intentions: Topic: 36, Keyword number: 4
gwen: Topic: 36, Keyword number: 5
julia_roberts: Topic: 36, Keyword number: 6
cruel_intentions: Topic: 36, Keyword number: 7
john_cusack: Topic: 36, Keyword number: 8
crystal: Topic: 36, Keyword number: 9
sweethearts: Topic: 36, Keyword number: 10
potter: Topic: 36, Keyword number: 11
sebastian_valmont: Topic: 36, Keyword number: 12
valmont: Topic: 36, Keyword number: 13
sebastian: Topic: 36, Keyword number: 14
bear: Topic: 36, Keyword number: 15
cruel: Topic: 36, Keyword number: 16
suzie: Topic: 36, Keyword number: 17
america_sweethearts: Topic: 36, Keyword number: 18
billy_crystal: Topic: 36, Keyword number: 19
time_time: Topic: 36, Keyword number: 20
billy: Topic: 36, Keyword number: 21
zeta_jones: Topic: 36, Keyword number: 22
zeta: Topic: 36, Keyword number: 23
press: Topic: 36, Keyword number: 24
prinze: Topic: 37, Keyword number: 0
webb: Topic: 37, Keyword number: 1
kate: Topic: 37, Keyword number: 2
freddie: Topic: 37, Keyword number: 3
avengers: Topic: 37, Keyword number: 4
osmosis: Topic: 37, Keyword number: 5
peel: Topic: 37, Keyword number: 6
freddie_prinze: Topic: 37, Keyword number: 7
zach: Topic: 37, Keyword number: 8
skin_deep: Topic: 37, Keyword number: 9
frank: Topic: 37, Keyword number: 10
fiennes: Topic: 37, Keyword number: 11
osmosis_jones: Topic: 37, Keyword number: 12
rugrats: Topic: 37, Keyword number: 13
skin: Topic: 37, Keyword number: 14
rugrats_movie: Topic: 37, Keyword number: 15
steed: Topic: 37, Keyword number: 16
baseball: Topic: 37, Keyword number: 17
owens: Topic: 37, Keyword number: 18
stiles: Topic: 37, Keyword number: 19
summer_catch: Topic: 37, Keyword number: 20
nick: Topic: 37, Keyword number: 21
sir: Topic: 37, Keyword number: 22
thurman: Topic: 37, Keyword number: 23
childers: Topic: 37, Keyword number: 24
sphere: Topic: 38, Keyword number: 0
werewolf: Topic: 38, Keyword number: 1
murphy: Topic: 38, Keyword number: 2
deuce: Topic: 38, Keyword number: 3
hoffman: Topic: 38, Keyword number: 4
ricky: Topic: 38, Keyword number: 5
redman: Topic: 38, Keyword number: 6
michael_redman: Topic: 38, Keyword number: 7
holy: Topic: 38, Keyword number: 8
goldblum: Topic: 38, Keyword number: 9
crichton: Topic: 38, Keyword number: 10
phil: Topic: 38, Keyword number: 11
levinson: Topic: 38, Keyword number: 12
american_werewolf: Topic: 38, Keyword number: 13
holy_man: Topic: 38, Keyword number: 14
deedles: Topic: 38, Keyword number: 15
virtual: Topic: 38, Keyword number: 16
shopping: Topic: 38, Keyword number: 17
park: Topic: 38, Keyword number: 18
jeff_goldblum: Topic: 38, Keyword number: 19
meet_deedles: Topic: 38, Keyword number: 20
goodman: Topic: 38, Keyword number: 21
sales: Topic: 38, Keyword number: 22
jackson: Topic: 38, Keyword number: 23
eddie_murphy: Topic: 38, Keyword number: 24
urban: Topic: 39, Keyword number: 0
species: Topic: 39, Keyword number: 1
urban_legend: Topic: 39, Keyword number: 2
legend: Topic: 39, Keyword number: 3
alien: Topic: 39, Keyword number: 4
patrick: Topic: 39, Keyword number: 5
musketeer: Topic: 39, Keyword number: 6
slasher: Topic: 39, Keyword number: 7
urban_legends: Topic: 39, Keyword number: 8
scream: Topic: 39, Keyword number: 9
artagnan: Topic: 39, Keyword number: 10
henstridge: Topic: 39, Keyword number: 11
musketeers: Topic: 39, Keyword number: 12
justin: Topic: 39, Keyword number: 13
legends: Topic: 39, Keyword number: 14
eve: Topic: 39, Keyword number: 15
chambers: Topic: 39, Keyword number: 16
williamson: Topic: 39, Keyword number: 17
madsen: Topic: 39, Keyword number: 18
mad_slasher: Topic: 39, Keyword number: 19
natasha: Topic: 39, Keyword number: 20
killer: Topic: 39, Keyword number: 21
suvari: Topic: 39, Keyword number: 22
helgenberger: Topic: 39, Keyword number: 23
louie: Topic: 39, Keyword number: 24
godzilla: Topic: 40, Keyword number: 0
seagal: Topic: 40, Keyword number: 1
broderick: Topic: 40, Keyword number: 2
york: Topic: 40, Keyword number: 3
pokemon: Topic: 40, Keyword number: 4
emmerich: Topic: 40, Keyword number: 5
french: Topic: 40, Keyword number: 6
lizard: Topic: 40, Keyword number: 7
independence_day: Topic: 40, Keyword number: 8
independence: Topic: 40, Keyword number: 9
monster: Topic: 40, Keyword number: 10
ebert: Topic: 40, Keyword number: 11
fish: Topic: 40, Keyword number: 12
park: Topic: 40, Keyword number: 13
tatopoulos: Topic: 40, Keyword number: 14
beast: Topic: 40, Keyword number: 15
reno: Topic: 40, Keyword number: 16
maria: Topic: 40, Keyword number: 17
siege: Topic: 40, Keyword number: 18
azaria: Topic: 40, Keyword number: 19
mayor: Topic: 40, Keyword number: 20
creature: Topic: 40, Keyword number: 21
jurassic: Topic: 40, Keyword number: 22
military: Topic: 40, Keyword number: 23
jean_reno: Topic: 40, Keyword number: 24
irene: Topic: 41, Keyword number: 0
trek: Topic: 41, Keyword number: 1
farrellys: Topic: 41, Keyword number: 2
star_trek: Topic: 41, Keyword number: 3
hughes: Topic: 41, Keyword number: 4
data: Topic: 41, Keyword number: 5
dalmatians: Topic: 41, Keyword number: 6
charlie: Topic: 41, Keyword number: 7
insurrection: Topic: 41, Keyword number: 8
mary: Topic: 41, Keyword number: 9
carrey: Topic: 41, Keyword number: 10
farrelly: Topic: 41, Keyword number: 11
personality: Topic: 41, Keyword number: 12
farrelly_brothers: Topic: 41, Keyword number: 13
john_hughes: Topic: 41, Keyword number: 14
brothers: Topic: 41, Keyword number: 15
live_action: Topic: 41, Keyword number: 16
porky: Topic: 41, Keyword number: 17
bunz: Topic: 41, Keyword number: 18
picard: Topic: 41, Keyword number: 19
cruella: Topic: 41, Keyword number: 20
einstein: Topic: 41, Keyword number: 21
nikki: Topic: 41, Keyword number: 22
booty: Topic: 41, Keyword number: 23
enterprise: Topic: 41, Keyword number: 24
flubber: Topic: 42, Keyword number: 0
troopers: Topic: 42, Keyword number: 1
verhoeven: Topic: 42, Keyword number: 2
starship: Topic: 42, Keyword number: 3
starship_troopers: Topic: 42, Keyword number: 4
disney: Topic: 42, Keyword number: 5
bugs: Topic: 42, Keyword number: 6
paulie: Topic: 42, Keyword number: 7
austin: Topic: 42, Keyword number: 8
professor: Topic: 42, Keyword number: 9
absent: Topic: 42, Keyword number: 10
absent_minded: Topic: 42, Keyword number: 11
minded: Topic: 42, Keyword number: 12
carey: Topic: 42, Keyword number: 13
austin_powers: Topic: 42, Keyword number: 14
billie: Topic: 42, Keyword number: 15
brainard: Topic: 42, Keyword number: 16
bug: Topic: 42, Keyword number: 17
philip: Topic: 42, Keyword number: 18
robocop: Topic: 42, Keyword number: 19
mariah: Topic: 42, Keyword number: 20
phillip: Topic: 42, Keyword number: 21
enola: Topic: 42, Keyword number: 22
military: Topic: 42, Keyword number: 23
showgirls: Topic: 42, Keyword number: 24
eddie: Topic: 43, Keyword number: 0
terry: Topic: 43, Keyword number: 1
winner: Topic: 43, Keyword number: 2
pamela: Topic: 43, Keyword number: 3
barb_wire: Topic: 43, Keyword number: 4
barb: Topic: 43, Keyword number: 5
del: Topic: 43, Keyword number: 6
anderson: Topic: 43, Keyword number: 7
wire: Topic: 43, Keyword number: 8
excess: Topic: 43, Keyword number: 9
fichtner: Topic: 43, Keyword number: 10
war: Topic: 43, Keyword number: 11
dream_fishes: Topic: 43, Keyword number: 12
fishes: Topic: 43, Keyword number: 13
excess_baggage: Topic: 43, Keyword number: 14
baggage: Topic: 43, Keyword number: 15
del_toro: Topic: 43, Keyword number: 16
caan: Topic: 43, Keyword number: 17
mona: Topic: 43, Keyword number: 18
spielberg: Topic: 43, Keyword number: 19
nick: Topic: 43, Keyword number: 20
mcquarrie: Topic: 43, Keyword number: 21
toro: Topic: 43, Keyword number: 22
philip: Topic: 43, Keyword number: 23
pearl_harbor: Topic: 43, Keyword number: 24
west: Topic: 44, Keyword number: 0
wild: Topic: 44, Keyword number: 1
apes: Topic: 44, Keyword number: 2
carter: Topic: 44, Keyword number: 3
smith: Topic: 44, Keyword number: 4
wild_wild: Topic: 44, Keyword number: 5
snake: Topic: 44, Keyword number: 6
wild_wild_west: Topic: 44, Keyword number: 7
anaconda: Topic: 44, Keyword number: 8
wild_west: Topic: 44, Keyword number: 9
kline: Topic: 44, Keyword number: 10
planet_apes: Topic: 44, Keyword number: 11
gordon: Topic: 44, Keyword number: 12
leo: Topic: 44, Keyword number: 13
ape: Topic: 44, Keyword number: 14
stallone: Topic: 44, Keyword number: 15
planet: Topic: 44, Keyword number: 16
heston: Topic: 44, Keyword number: 17
bug: Topic: 44, Keyword number: 18
loveless: Topic: 44, Keyword number: 19
burton: Topic: 44, Keyword number: 20
branagh: Topic: 44, Keyword number: 21
humans: Topic: 44, Keyword number: 22
jim_west: Topic: 44, Keyword number: 23
men_black: Topic: 44, Keyword number: 24
teen: Topic: 45, Keyword number: 0
dicaprio: Topic: 45, Keyword number: 1
vince: Topic: 45, Keyword number: 2
sagemiller: Topic: 45, Keyword number: 3
harrelson: Topic: 45, Keyword number: 4
van_sant: Topic: 45, Keyword number: 5
sant: Topic: 45, Keyword number: 6
doom_generation: Topic: 45, Keyword number: 7
heche: Topic: 45, Keyword number: 8
leonardo_dicaprio: Topic: 45, Keyword number: 9
leonardo: Topic: 45, Keyword number: 10
angst: Topic: 45, Keyword number: 11
doom: Topic: 45, Keyword number: 12
fuck: Topic: 45, Keyword number: 13
arraki: Topic: 45, Keyword number: 14
shelton: Topic: 45, Keyword number: 15
generation: Topic: 45, Keyword number: 16
hedwig: Topic: 45, Keyword number: 17
xavier: Topic: 45, Keyword number: 18
araki: Topic: 45, Keyword number: 19
teen_angst: Topic: 45, Keyword number: 20
richard: Topic: 45, Keyword number: 21
play_bone: Topic: 45, Keyword number: 22
bone: Topic: 45, Keyword number: 23
gregg: Topic: 45, Keyword number: 24
martha: Topic: 46, Keyword number: 0
memphis: Topic: 46, Keyword number: 1
helen: Topic: 46, Keyword number: 2
stalked: Topic: 46, Keyword number: 3
hush: Topic: 46, Keyword number: 4
diedre: Topic: 46, Keyword number: 5
kip: Topic: 46, Keyword number: 6
lange: Topic: 46, Keyword number: 7
valerie: Topic: 46, Keyword number: 8
sarah: Topic: 46, Keyword number: 9
grant: Topic: 46, Keyword number: 10
fatal: Topic: 46, Keyword number: 11
dante_peak: Topic: 46, Keyword number: 12
peak: Topic: 46, Keyword number: 13
eruption: Topic: 46, Keyword number: 14
paltrow: Topic: 46, Keyword number: 15
dante: Topic: 46, Keyword number: 16
foolish: Topic: 46, Keyword number: 17
sonia: Topic: 46, Keyword number: 18
cars: Topic: 46, Keyword number: 19
daryl: Topic: 46, Keyword number: 20
sculptress: Topic: 46, Keyword number: 21
fatal_charm: Topic: 46, Keyword number: 22
talk_strangers: Topic: 46, Keyword number: 23
schaech: Topic: 46, Keyword number: 24
geronimo: Topic: 47, Keyword number: 0
mccoy: Topic: 47, Keyword number: 1
porter: Topic: 47, Keyword number: 2
karen: Topic: 47, Keyword number: 3
garofalo: Topic: 47, Keyword number: 4
bookseller: Topic: 47, Keyword number: 5
pimp: Topic: 47, Keyword number: 6
pimps: Topic: 47, Keyword number: 7
town_country: Topic: 47, Keyword number: 8
mystery_men: Topic: 47, Keyword number: 9
mona: Topic: 47, Keyword number: 10
real_mccoy: Topic: 47, Keyword number: 11
greg: Topic: 47, Keyword number: 12
griffin: Topic: 47, Keyword number: 13
amazing: Topic: 47, Keyword number: 14
schmidt: Topic: 47, Keyword number: 15
basinger: Topic: 47, Keyword number: 16
stiller: Topic: 47, Keyword number: 17
ross: Topic: 47, Keyword number: 18
country: Topic: 47, Keyword number: 19
catherine: Topic: 47, Keyword number: 20
cliche: Topic: 47, Keyword number: 21
ellie: Topic: 47, Keyword number: 22
beatty: Topic: 47, Keyword number: 23
parole: Topic: 47, Keyword number: 24
murphy: Topic: 48, Keyword number: 0
judd: Topic: 48, Keyword number: 1
libby: Topic: 48, Keyword number: 2
double_jeopardy: Topic: 48, Keyword number: 3
jeopardy: Topic: 48, Keyword number: 4
ashley: Topic: 48, Keyword number: 5
eye: Topic: 48, Keyword number: 6
ashley_judd: Topic: 48, Keyword number: 7
double: Topic: 48, Keyword number: 8
fugitive: Topic: 48, Keyword number: 9
violin: Topic: 48, Keyword number: 10
husband: Topic: 48, Keyword number: 11
wigand: Topic: 48, Keyword number: 12
jermaine: Topic: 48, Keyword number: 13
jasmine: Topic: 48, Keyword number: 14
tobacco: Topic: 48, Keyword number: 15
letter: Topic: 48, Keyword number: 16
harlem: Topic: 48, Keyword number: 17
tommy_lee_jones: Topic: 48, Keyword number: 18
lee_jones: Topic: 48, Keyword number: 19
tommy_lee: Topic: 48, Keyword number: 20
harlem_nights: Topic: 48, Keyword number: 21
darnell: Topic: 48, Keyword number: 22
tommy: Topic: 48, Keyword number: 23
parole: Topic: 48, Keyword number: 24
harry: Topic: 49, Keyword number: 0
perry: Topic: 49, Keyword number: 1
armageddon: Topic: 49, Keyword number: 2
melvin: Topic: 49, Keyword number: 3
noir: Topic: 49, Keyword number: 4
cisco: Topic: 49, Keyword number: 5
willis: Topic: 49, Keyword number: 6
palmetto: Topic: 49, Keyword number: 7
farley: Topic: 49, Keyword number: 8
deep: Topic: 49, Keyword number: 9
oil: Topic: 49, Keyword number: 10
paris: Topic: 49, Keyword number: 11
alessa: Topic: 49, Keyword number: 12
shue: Topic: 49, Keyword number: 13
nasa: Topic: 49, Keyword number: 14
big_hit: Topic: 49, Keyword number: 15
buster: Topic: 49, Keyword number: 16
bruce_willis: Topic: 49, Keyword number: 17
deep_impact: Topic: 49, Keyword number: 18
affleck: Topic: 49, Keyword number: 19
matthew_perry: Topic: 49, Keyword number: 20
yards: Topic: 49, Keyword number: 21
asteroid: Topic: 49, Keyword number: 22
film_noir: Topic: 49, Keyword number: 23
impact: Topic: 49, Keyword number: 24
