movie: Topic: 0, Keyword number: 0
comedies: Topic: 29, Keyword number: 16
moments: Topic: 29, Keyword number: 17
didn: Topic: 29, Keyword number: 18
funny: Topic: 29, Keyword number: 19
witch: Topic: 29, Keyword number: 20
ben: Topic: 29, Keyword number: 21
screen: Topic: 29, Keyword number: 22
bottom: Topic: 29, Keyword number: 23
singer: Topic: 29, Keyword number: 24
city: Topic: 30, Keyword number: 0
scene: Topic: 30, Keyword number: 1
bad: Topic: 30, Keyword number: 2
film: Topic: 30, Keyword number: 3
bulworth: Topic: 30, Keyword number: 4
human: Topic: 30, Keyword number: 5
ghost: Topic: 30, Keyword number: 6
elizabeth: Topic: 30, Keyword number: 7
evil: Topic: 30, Keyword number: 8
ryan: Topic: 30, Keyword number: 9
audience: Topic: 30, Keyword number: 10
plot: Topic: 30, Keyword number: 11
side: Topic: 30, Keyword number: 12
angels: Topic: 30, Keyword number: 13
great: Topic: 30, Keyword number: 14
dead: Topic: 30, Keyword number: 15
questions: Topic: 30, Keyword number: 16
movie: Topic: 30, Keyword number: 17
job: Topic: 30, Keyword number: 18
feel: Topic: 30, Keyword number: 19
played: Topic: 30, Keyword number: 20
cute: Topic: 30, Keyword number: 21
actor: Topic: 30, Keyword number: 22
york: Topic: 30, Keyword number: 23
time: Topic: 30, Keyword number: 24
trek: Topic: 31, Keyword number: 0
star: Topic: 31, Keyword number: 1
star_trek: Topic: 31, Keyword number: 2
family: Topic: 31, Keyword number: 3
year: Topic: 31, Keyword number: 4
film: Topic: 31, Keyword number: 5
ordell: Topic: 31, Keyword number: 6
fiction: Topic: 31, Keyword number: 7
job: Topic: 31, Keyword number: 8
town: Topic: 31, Keyword number: 9
series: Topic: 31, Keyword number: 10
films: Topic: 31, Keyword number: 11
directed: Topic: 31, Keyword number: 12
career: Topic: 31, Keyword number: 13
cast: Topic: 31, Keyword number: 14
son: Topic: 31, Keyword number: 15
robert: Topic: 31, Keyword number: 16
bob: Topic: 31, Keyword number: 17
doesn: Topic: 31, Keyword number: 18
good: Topic: 31, Keyword number: 19
michael: Topic: 31, Keyword number: 20
average: Topic: 31, Keyword number: 21
earth: Topic: 31, Keyword number: 22
characters: Topic: 31, Keyword number: 23
late: Topic: 31, Keyword number: 24
film: Topic: 32, Keyword number: 0
love: Topic: 32, Keyword number: 1
flynt: Topic: 32, Keyword number: 2
scene: Topic: 32, Keyword number: 3
story: Topic: 32, Keyword number: 4
people: Topic: 32, Keyword number: 5
william: Topic: 32, Keyword number: 6
place: Topic: 32, Keyword number: 7
larry: Topic: 32, Keyword number: 8
television: Topic: 32, Keyword number: 9
plot: Topic: 32, Keyword number: 10
political: Topic: 32, Keyword number: 11
president: Topic: 32, Keyword number: 12
war: Topic: 32, Keyword number: 13
plays: Topic: 32, Keyword number: 14
larry_flynt: Topic: 32, Keyword number: 15
men: Topic: 32, Keyword number: 16
gangster: Topic: 32, Keyword number: 17
nature: Topic: 32, Keyword number: 18
life: Topic: 32, Keyword number: 19
ben: Topic: 32, Keyword number: 20
don: Topic: 32, Keyword number: 21
comedy: Topic: 32, Keyword number: 22
funny: Topic: 32, Keyword number: 23
won: Topic: 32, Keyword number: 24
movie: Topic: 33, Keyword number: 0
time: Topic: 33, Keyword number: 1
film: Topic: 33, Keyword number: 2
girls: Topic: 33, Keyword number: 3
screen: Topic: 33, Keyword number: 4
good: Topic: 33, Keyword number: 5
case: Topic: 33, Keyword number: 6
anderson: Topic: 33, Keyword number: 7
movies: Topic: 33, Keyword number: 8
ultimately: Topic: 33, Keyword number: 9
sex: Topic: 33, Keyword number: 10
moment: Topic: 33, Keyword number: 11
day: Topic: 33, Keyword number: 12
fun: Topic: 33, Keyword number: 13
character: Topic: 33, Keyword number: 14
characters: Topic: 33, Keyword number: 15
guess: Topic: 33, Keyword number: 16
screen_time: Topic: 33, Keyword number: 17
felt: Topic: 33, Keyword number: 18
happy: Topic: 33, Keyword number: 19
entertainment: Topic: 33, Keyword number: 20
wong: Topic: 33, Keyword number: 21
works: Topic: 33, Keyword number: 22
place: Topic: 33, Keyword number: 23
films: Topic: 33, Keyword number: 24
film: Topic: 34, Keyword number: 0
reality: Topic: 34, Keyword number: 1
mike: Topic: 34, Keyword number: 2
year: Topic: 34, Keyword number: 3
drunken: Topic: 34, Keyword number: 4
master: Topic: 34, Keyword number: 5
times: Topic: 34, Keyword number: 6
characters: Topic: 34, Keyword number: 7
men: Topic: 34, Keyword number: 8
work: Topic: 34, Keyword number: 9
problems: Topic: 34, Keyword number: 10
bit: Topic: 34, Keyword number: 11
character: Topic: 34, Keyword number: 12
white: Topic: 34, Keyword number: 13
early: Topic: 34, Keyword number: 14
comic: Topic: 34, Keyword number: 15
family: Topic: 34, Keyword number: 16
popular: Topic: 34, Keyword number: 17
friends: Topic: 34, Keyword number: 18
form: Topic: 34, Keyword number: 19
group: Topic: 34, Keyword number: 20
turn: Topic: 34, Keyword number: 21
amistad: Topic: 34, Keyword number: 22
fine: Topic: 34, Keyword number: 23
based: Topic: 34, Keyword number: 24
life: Topic: 35, Keyword number: 0
town: Topic: 35, Keyword number: 1
audience: Topic: 35, Keyword number: 2
god: Topic: 35, Keyword number: 3
movie: Topic: 35, Keyword number: 4
great: Topic: 35, Keyword number: 5
scenes: Topic: 35, Keyword number: 6
characters: Topic: 35, Keyword number: 7
person: Topic: 35, Keyword number: 8
romance: Topic: 35, Keyword number: 9
alice: Topic: 35, Keyword number: 10
meets: Topic: 35, Keyword number: 11
pretty: Topic: 35, Keyword number: 12
delivers: Topic: 35, Keyword number: 13
director: Topic: 35, Keyword number: 14
time: Topic: 35, Keyword number: 15
culture: Topic: 35, Keyword number: 16
rock: Topic: 35, Keyword number: 17
long: Topic: 35, Keyword number: 18
lost: Topic: 35, Keyword number: 19
murder: Topic: 35, Keyword number: 20
film: Topic: 35, Keyword number: 21
script: Topic: 35, Keyword number: 22
work: Topic: 35, Keyword number: 23
side: Topic: 35, Keyword number: 24
film: Topic: 36, Keyword number: 0
movie: Topic: 36, Keyword number: 1
computer: Topic: 36, Keyword number: 2
hanks: Topic: 36, Keyword number: 3
stuart: Topic: 36, Keyword number: 4
story: Topic: 36, Keyword number: 5
time: Topic: 36, Keyword number: 6
movies: Topic: 36, Keyword number: 7
perfect: Topic: 36, Keyword number: 8
watching: Topic: 36, Keyword number: 9
real: Topic: 36, Keyword number: 10
play: Topic: 36, Keyword number: 11
family: Topic: 36, Keyword number: 12
called: Topic: 36, Keyword number: 13
rose: Topic: 36, Keyword number: 14
class: Topic: 36, Keyword number: 15
credits: Topic: 36, Keyword number: 16
finally: Topic: 36, Keyword number: 17
nice: Topic: 36, Keyword number: 18
mouse: Topic: 36, Keyword number: 19
doesn: Topic: 36, Keyword number: 20
peter: Topic: 36, Keyword number: 21
today: Topic: 36, Keyword number: 22
nuclear: Topic: 36, Keyword number: 23
jokes: Topic: 36, Keyword number: 24
film: Topic: 37, Keyword number: 0
romantic: Topic: 37, Keyword number: 1
director: Topic: 37, Keyword number: 2
hollywood: Topic: 37, Keyword number: 3
character: Topic: 37, Keyword number: 4
gibson: Topic: 37, Keyword number: 5
point: Topic: 37, Keyword number: 6
people: Topic: 37, Keyword number: 7
view: Topic: 37, Keyword number: 8
friend: Topic: 37, Keyword number: 9
role: Topic: 37, Keyword number: 10
roberts: Topic: 37, Keyword number: 11
julia: Topic: 37, Keyword number: 12
audience: Topic: 37, Keyword number: 13
romantic_comedy: Topic: 37, Keyword number: 14
years: Topic: 37, Keyword number: 15
script: Topic: 37, Keyword number: 16
company: Topic: 37, Keyword number: 17
mel_gibson: Topic: 37, Keyword number: 18
good: Topic: 37, Keyword number: 19
american: Topic: 37, Keyword number: 20
high_school: Topic: 37, Keyword number: 21
work: Topic: 37, Keyword number: 22
happen: Topic: 37, Keyword number: 23
reasons: Topic: 37, Keyword number: 24
good: Topic: 38, Keyword number: 0
guy: Topic: 38, Keyword number: 1
kevin: Topic: 38, Keyword number: 2
film: Topic: 38, Keyword number: 3
characters: Topic: 38, Keyword number: 4
lee: Topic: 38, Keyword number: 5
time: Topic: 38, Keyword number: 6
shot: Topic: 38, Keyword number: 7
scenes: Topic: 38, Keyword number: 8
kind: Topic: 38, Keyword number: 9
big: Topic: 38, Keyword number: 10
great: Topic: 38, Keyword number: 11
camera: Topic: 38, Keyword number: 12
things: Topic: 38, Keyword number: 13
movie: Topic: 38, Keyword number: 14
people: Topic: 38, Keyword number: 15
humor: Topic: 38, Keyword number: 16
story: Topic: 38, Keyword number: 17
white: Topic: 38, Keyword number: 18
music: Topic: 38, Keyword number: 19
find: Topic: 38, Keyword number: 20
premise: Topic: 38, Keyword number: 21
bunch: Topic: 38, Keyword number: 22
women: Topic: 38, Keyword number: 23
company: Topic: 38, Keyword number: 24
film: Topic: 39, Keyword number: 0
story: Topic: 39, Keyword number: 1
cast: Topic: 39, Keyword number: 2
child: Topic: 39, Keyword number: 3
robin: Topic: 39, Keyword number: 4
scenes: Topic: 39, Keyword number: 5
work: Topic: 39, Keyword number: 6
half: Topic: 39, Keyword number: 7
hero: Topic: 39, Keyword number: 8
son: Topic: 39, Keyword number: 9
action: Topic: 39, Keyword number: 10
greatest: Topic: 39, Keyword number: 11
good: Topic: 39, Keyword number: 12
planet: Topic: 39, Keyword number: 13
epic: Topic: 39, Keyword number: 14
stars: Topic: 39, Keyword number: 15
lot: Topic: 39, Keyword number: 16
simple: Topic: 39, Keyword number: 17
short: Topic: 39, Keyword number: 18
isn: Topic: 39, Keyword number: 19
stolen: Topic: 39, Keyword number: 20
hopkins: Topic: 39, Keyword number: 21
american: Topic: 39, Keyword number: 22
children: Topic: 39, Keyword number: 23
michelle: Topic: 39, Keyword number: 24
tom: Topic: 40, Keyword number: 0
love: Topic: 40, Keyword number: 1
wedding: Topic: 40, Keyword number: 2
big: Topic: 40, Keyword number: 3
money: Topic: 40, Keyword number: 4
lebowski: Topic: 40, Keyword number: 5
screen: Topic: 40, Keyword number: 6
dude: Topic: 40, Keyword number: 7
stories: Topic: 40, Keyword number: 8
eyes: Topic: 40, Keyword number: 9
plays: Topic: 40, Keyword number: 10
true: Topic: 40, Keyword number: 11
party: Topic: 40, Keyword number: 12
foster: Topic: 40, Keyword number: 13
guy: Topic: 40, Keyword number: 14
wayne: Topic: 40, Keyword number: 15
sandler: Topic: 40, Keyword number: 16
john: Topic: 40, Keyword number: 17
emotional: Topic: 40, Keyword number: 18
movie: Topic: 40, Keyword number: 19
hilarious: Topic: 40, Keyword number: 20
runs: Topic: 40, Keyword number: 21
pie: Topic: 40, Keyword number: 22
clooney: Topic: 40, Keyword number: 23
house: Topic: 40, Keyword number: 24
film: Topic: 41, Keyword number: 0
horror: Topic: 41, Keyword number: 1
movie: Topic: 41, Keyword number: 2
smith: Topic: 41, Keyword number: 3
bad: Topic: 41, Keyword number: 4
alien: Topic: 41, Keyword number: 5
high: Topic: 41, Keyword number: 6
action: Topic: 41, Keyword number: 7
troopers: Topic: 41, Keyword number: 8
good: Topic: 41, Keyword number: 9
planet: Topic: 41, Keyword number: 10
kevin: Topic: 41, Keyword number: 11
kids: Topic: 41, Keyword number: 12
elements: Topic: 41, Keyword number: 13
starship: Topic: 41, Keyword number: 14
starship_troopers: Topic: 41, Keyword number: 15
sequel: Topic: 41, Keyword number: 16
watch: Topic: 41, Keyword number: 17
smart: Topic: 41, Keyword number: 18
species: Topic: 41, Keyword number: 19
sci: Topic: 41, Keyword number: 20
making: Topic: 41, Keyword number: 21
genre: Topic: 41, Keyword number: 22
big: Topic: 41, Keyword number: 23
david: Topic: 41, Keyword number: 24
film: Topic: 42, Keyword number: 0
room: Topic: 42, Keyword number: 1
entire: Topic: 42, Keyword number: 2
book: Topic: 42, Keyword number: 3
project: Topic: 42, Keyword number: 4
bug: Topic: 42, Keyword number: 5
good: Topic: 42, Keyword number: 6
carlito: Topic: 42, Keyword number: 7
mission: Topic: 42, Keyword number: 8
writing: Topic: 42, Keyword number: 9
series: Topic: 42, Keyword number: 10
parts: Topic: 42, Keyword number: 11
long: Topic: 42, Keyword number: 12
character: Topic: 42, Keyword number: 13
created: Topic: 42, Keyword number: 14
prison: Topic: 42, Keyword number: 15
blair_witch: Topic: 42, Keyword number: 16
jim: Topic: 42, Keyword number: 17
thing: Topic: 42, Keyword number: 18
service: Topic: 42, Keyword number: 19
music: Topic: 42, Keyword number: 20
message: Topic: 42, Keyword number: 21
minor: Topic: 42, Keyword number: 22
video: Topic: 42, Keyword number: 23
government: Topic: 42, Keyword number: 24
joe: Topic: 43, Keyword number: 0
silent: Topic: 43, Keyword number: 1
movie: Topic: 43, Keyword number: 2
jay: Topic: 43, Keyword number: 3
anna: Topic: 43, Keyword number: 4
matt: Topic: 43, Keyword number: 5
characters: Topic: 43, Keyword number: 6
american: Topic: 43, Keyword number: 7
island: Topic: 43, Keyword number: 8
york: Topic: 43, Keyword number: 9
hank: Topic: 43, Keyword number: 10
october: Topic: 43, Keyword number: 11
son: Topic: 43, Keyword number: 12
family: Topic: 43, Keyword number: 13
good: Topic: 43, Keyword number: 14
book: Topic: 43, Keyword number: 15
laugh: Topic: 43, Keyword number: 16
night: Topic: 43, Keyword number: 17
head: Topic: 43, Keyword number: 18
things: Topic: 43, Keyword number: 19
coen: Topic: 43, Keyword number: 20
dream: Topic: 43, Keyword number: 21
jason: Topic: 43, Keyword number: 22
charles: Topic: 43, Keyword number: 23
father: Topic: 43, Keyword number: 24
jackie: Topic: 44, Keyword number: 0
tarantino: Topic: 44, Keyword number: 1
film: Topic: 44, Keyword number: 2
tarzan: Topic: 44, Keyword number: 3
brown: Topic: 44, Keyword number: 4
michael: Topic: 44, Keyword number: 5
jackie_brown: Topic: 44, Keyword number: 6
job: Topic: 44, Keyword number: 7
good: Topic: 44, Keyword number: 8
pulp: Topic: 44, Keyword number: 9
jackson: Topic: 44, Keyword number: 10
man: Topic: 44, Keyword number: 11
screen: Topic: 44, Keyword number: 12
baby: Topic: 44, Keyword number: 13
family: Topic: 44, Keyword number: 14
small: Topic: 44, Keyword number: 15
movie: Topic: 44, Keyword number: 16
don: Topic: 44, Keyword number: 17
rush: Topic: 44, Keyword number: 18
cop: Topic: 44, Keyword number: 19
money: Topic: 44, Keyword number: 20
isn: Topic: 44, Keyword number: 21
max: Topic: 44, Keyword number: 22
performance: Topic: 44, Keyword number: 23
grier: Topic: 44, Keyword number: 24
film: Topic: 45, Keyword number: 0
black: Topic: 45, Keyword number: 1
life: Topic: 45, Keyword number: 2
story: Topic: 45, Keyword number: 3
director: Topic: 45, Keyword number: 4
man: Topic: 45, Keyword number: 5
played: Topic: 45, Keyword number: 6
original: Topic: 45, Keyword number: 7
version: Topic: 45, Keyword number: 8
love: Topic: 45, Keyword number: 9
movie: Topic: 45, Keyword number: 10
things: Topic: 45, Keyword number: 11
cauldron: Topic: 45, Keyword number: 12
big: Topic: 45, Keyword number: 13
king: Topic: 45, Keyword number: 14
day: Topic: 45, Keyword number: 15
left: Topic: 45, Keyword number: 16
impressive: Topic: 45, Keyword number: 17
writer: Topic: 45, Keyword number: 18
age: Topic: 45, Keyword number: 19
black_cauldron: Topic: 45, Keyword number: 20
opening: Topic: 45, Keyword number: 21
fine: Topic: 45, Keyword number: 22
biggest: Topic: 45, Keyword number: 23
sense: Topic: 45, Keyword number: 24
film: Topic: 46, Keyword number: 0
effects: Topic: 46, Keyword number: 1
special: Topic: 46, Keyword number: 2
wars: Topic: 46, Keyword number: 3
ship: Topic: 46, Keyword number: 4
special_effects: Topic: 46, Keyword number: 5
star: Topic: 46, Keyword number: 6
story: Topic: 46, Keyword number: 7
good: Topic: 46, Keyword number: 8
acting: Topic: 46, Keyword number: 9
star_wars: Topic: 46, Keyword number: 10
original: Topic: 46, Keyword number: 11
danny: Topic: 46, Keyword number: 12
great: Topic: 46, Keyword number: 13
ted: Topic: 46, Keyword number: 14
washington: Topic: 46, Keyword number: 15
event: Topic: 46, Keyword number: 16
released: Topic: 46, Keyword number: 17
real: Topic: 46, Keyword number: 18
role: Topic: 46, Keyword number: 19
dicaprio: Topic: 46, Keyword number: 20
personal: Topic: 46, Keyword number: 21
hurricane: Topic: 46, Keyword number: 22
presence: Topic: 46, Keyword number: 23
problems: Topic: 46, Keyword number: 24
movie: Topic: 47, Keyword number: 0
film: Topic: 47, Keyword number: 1
life: Topic: 47, Keyword number: 2
director: Topic: 47, Keyword number: 3
year: Topic: 47, Keyword number: 4
plot: Topic: 47, Keyword number: 5
character: Topic: 47, Keyword number: 6
things: Topic: 47, Keyword number: 7
great: Topic: 47, Keyword number: 8
doesn: Topic: 47, Keyword number: 9
scenes: Topic: 47, Keyword number: 10
wife: Topic: 47, Keyword number: 11
half: Topic: 47, Keyword number: 12
robocop: Topic: 47, Keyword number: 13
dark_city: Topic: 47, Keyword number: 14
game: Topic: 47, Keyword number: 15
humor: Topic: 47, Keyword number: 16
finally: Topic: 47, Keyword number: 17
played: Topic: 47, Keyword number: 18
leila: Topic: 47, Keyword number: 19
devil: Topic: 47, Keyword number: 20
city: Topic: 47, Keyword number: 21
johnny: Topic: 47, Keyword number: 22
mulder: Topic: 47, Keyword number: 23
acting: Topic: 47, Keyword number: 24
film: Topic: 48, Keyword number: 0
action: Topic: 48, Keyword number: 1
performance: Topic: 48, Keyword number: 2
hong: Topic: 48, Keyword number: 3
films: Topic: 48, Keyword number: 4
derek: Topic: 48, Keyword number: 5
plot: Topic: 48, Keyword number: 6
year: Topic: 48, Keyword number: 7
life: Topic: 48, Keyword number: 8
american: Topic: 48, Keyword number: 9
kong: Topic: 48, Keyword number: 10
death: Topic: 48, Keyword number: 11
thing: Topic: 48, Keyword number: 12
beautiful: Topic: 48, Keyword number: 13
hong_kong: Topic: 48, Keyword number: 14
bad: Topic: 48, Keyword number: 15
plan: Topic: 48, Keyword number: 16
movie: Topic: 48, Keyword number: 17
point: Topic: 48, Keyword number: 18
turns: Topic: 48, Keyword number: 19
car: Topic: 48, Keyword number: 20
things: Topic: 48, Keyword number: 21
interesting: Topic: 48, Keyword number: 22
town: Topic: 48, Keyword number: 23
van: Topic: 48, Keyword number: 24
film: Topic: 49, Keyword number: 0
wonderful: Topic: 49, Keyword number: 1
george: Topic: 49, Keyword number: 2
young: Topic: 49, Keyword number: 3
save: Topic: 49, Keyword number: 4
beauty: Topic: 49, Keyword number: 5
movie: Topic: 49, Keyword number: 6
science: Topic: 49, Keyword number: 7
set: Topic: 49, Keyword number: 8
character: Topic: 49, Keyword number: 9
aliens: Topic: 49, Keyword number: 10
hollywood: Topic: 49, Keyword number: 11
hand: Topic: 49, Keyword number: 12
daughter: Topic: 49, Keyword number: 13
friend: Topic: 49, Keyword number: 14
local: Topic: 49, Keyword number: 15
dramatic: Topic: 49, Keyword number: 16
wife: Topic: 49, Keyword number: 17
juliet: Topic: 49, Keyword number: 18
special_effects: Topic: 49, Keyword number: 19
performance: Topic: 49, Keyword number: 20
success: Topic: 49, Keyword number: 21
provide: Topic: 49, Keyword number: 22
completely: Topic: 49, Keyword number: 23
quest: Topic: 49, Keyword number: 24
